Time, lidar measured x, lidar measured y 
5466666,-4.76323,-4.15533
5466666,19.8491,3.69145
5500000,19.1938,0.0798363
5500000,-4.64751,-3.92029
5500000,20.3448,3.92374
5533333,19.0188,0.0158557
5533333,-4.98867,-3.98427
5533333,20.3781,3.85703
5566666,19.2879,0.0276857
5566666,-4.88005,-3.97244
5566666,20.8556,3.86615
5600000,19.3412,-0.0748616
5600000,-4.98174,-4.07499
5600000,21.1172,3.7609
5633333,19.5114,-0.0707205
5633333,-4.96106,-4.07084
5633333,21.4957,3.76237
5666666,19.5507,-0.34621
5666666,-5.06559,-4.34633
5666666,21.7434,3.48422
5700000,19.7747,0.303977
5700000,-4.97996,-3.69615
5700000,22.1757,4.13177
5733333,19.9649,-0.236015
5733333,-4.92256,-4.23614
5733333,22.5742,3.58916
5766666,20.167,0.0868949
5766666,-4.84766,-3.91323
5766666,22.9846,3.90947
5800000,20.0732,-0.379557
5800000,-5.0631,-4.37968
5800000,23.0992,3.44043
5833333,20.4995,-0.178426
5833333,-4.7529,-4.17855
5833333,23.7338,3.639
5866666,20.4276,0.213135
5866666,-4.93539,-3.78699
5866666,23.8702,4.02801
5900000,20.3831,0.194177
5900000,-5.08484,-3.80595
5900000,24.034,4.00653
5933333,20.8515,-0.0124559
5933333,-4.7159,-4.01258
5933333,24.7108,3.79738
5966666,20.6321,0.00623676
5966666,-5.02925,-3.99389
5966666,24.6996,3.81359
6000000,20.6711,0.00362116
6000000,-5.07857,-3.9965
6000000,24.947,3.8085
6033333,20.7812,0.0768791
6033333,-5.05124,-3.92324
6033333,25.2654,3.8793
6066666,20.9352,0.0156076
6066666,-4.97444,-3.98452
6066666,25.6277,3.8156
6100000,20.6846,0.0249086
6100000,-5.29669,-3.97522
6100000,25.5855,3.82248
6133333,20.8897,-0.396596
6133333,-5.15772,-4.39672
6133333,25.9989,3.39858
6166666,21.2409,-0.251025
6166666,-4.86707,-4.25115
6166666,26.5584,3.54177
6200000,21.0327,-0.229907
6200000,-5.13025,-4.23003
6200000,26.5585,3.56053
6233333,21.0923,0.0987691
6233333,-5.12016,-3.90135
6233333,26.8264,3.88686
6266666,21.1174,-0.125136
6266666,-5.13889,-4.12526
6266666,27.0599,3.66063
6300000,21.2369,-0.0688233
6300000,-5.05779,-4.06895
6300000,27.3876,3.71464
6333333,21.383,0.0267178
6333333,-4.94446,-3.97341
6333333,27.7421,3.80789
6366666,21.7955,-0.214464
6366666,-4.55917,-4.21459
6366666,28.3629,3.56444
6400000,21.4509,-0.110333
6400000,-4.92544,-4.11046
6400000,28.2266,3.66632
6433333,21.4983,-0.00623803
6433333,-4.89418,-4.00636
6433333,28.4823,3.76819
6466666,21.5272,-0.217401
6466666,-4.87583,-4.21753
6466666,28.7196,3.55481
6500000,21.7396,0.162471
6500000,-4.66841,-3.83765
6500000,29.1403,3.93249
6533333,21.7768,-0.105174
6533333,-4.63064,-4.1053
6533333,29.3858,3.66267
6566666,21.8526,-0.0303003
6566666,-4.54878,-4.03042
6566666,29.6699,3.73538
6600000,21.7671,-0.0853884
6600000,-4.62255,-4.08551
6600000,29.7928,3.67815
6633333,22.0865,0.0216116
6633333,-4.28597,-3.97851
6633333,30.3205,3.78303
6666666,21.9343,0.134476
6666666,-4.41534,-3.86565
6666666,30.3767,3.8938
6700000,22.0298,0.144813
6700000,-4.29158,-3.85531
6700000,30.6804,3.90205
6733333,22.4168,-0.320042
6733333,-3.87066,-4.32017
6733333,31.2758,3.43513
6766666,21.9628,0.0763652
6766666,-4.28525,-3.92376
6766666,31.0301,3.82949
6800000,22.256,0.245223
6800000,-3.94697,-3.7549
6800000,31.5317,3.99632
6833333,21.9811,0.0493043
6833333,-4.17132,-3.95082
6833333,31.4651,3.79839
6866666,22.2544,0.127206
6866666,-3.84194,-3.87292
6866666,31.9467,3.8743
6900000,22.2975,0.187891
6900000,-3.73718,-3.81223
6900000,32.1981,3.93302
6933333,22.3701,-0.0121203
6933333,-3.59733,-4.01224
6933333,32.4791,3.73105
6966666,22.1302,0.419444
6966666,-3.76451,-3.58068
6966666,32.4474,4.16068
7000000,22.3768,0.17028
7000000,-3.43954,-3.82984
7000000,32.9024,3.9096
7033333,22.5712,0.026396
7033333,-3.16127,-3.97373
7033333,33.3051,3.76382
7066666,22.0635,-0.160338
7066666,-3.57953,-4.16046
7066666,33.0057,3.5752
7100000,22.3125,-0.0376026
7100000,-3.23549,-4.03773
7100000,33.4631,3.69608
7133333,22.2676,-0.143253
7133333,-3.17988,-4.14338
7133333,33.6265,3.58859
7166666,22.3972,0.254289
7166666,-2.94415,-3.74583
7166666,33.9644,3.9843
7200000,22.4228,0.157891
7200000,-2.80693,-3.84223
7200000,34.1983,3.8861
7233333,22.4204,-0.191212
7233333,-2.69206,-4.19134
7233333,34.4043,3.53521
7266666,22.1093,-0.180825
7266666,-2.88037,-4.18095
7266666,34.3015,3.54383
7300000,22.131,0.0356262
7300000,-2.73031,-3.9645
7300000,34.5315,3.75853
7333333,22.4731,-0.0184618
7333333,-2.25438,-4.01859
7333333,35.0819,3.70271
7366666,22.483,-0.132193
7366666,-2.10503,-4.13232
7366666,35.3002,3.58727
7400000,22.3379,0.284788
7400000,-2.10513,-3.71534
7400000,35.3634,4.00255
7433333,22.2299,-0.0233258
7433333,-2.06261,-4.02345
7433333,35.4637,3.69276
7466666,22.4257,-0.0986867
7466666,-1.71063,-4.09881
7466666,35.8679,3.61575
7500000,22.5695,-0.126172
7500000,-1.40522,-4.1263
7500000,36.2199,3.58662
7533333,22.2179,-0.149911
7533333,-1.58952,-4.15004
7533333,36.079,3.56124
7566666,22.411,0.0435217
7566666,-1.22369,-3.9566
7566666,36.4848,3.75304
7600000,22.3431,0.0390403
7600000,-1.11325,-3.96108
7600000,36.6319,3.74692
7633333,22.2275,-0.145798
7633333,-1.04498,-4.14592
7633333,36.7335,3.56044
7666666,22.1097,0.221867
7666666,-0.973326,-3.77826
7666666,36.8351,3.92647
7700000,22.328,0.101874
7700000,-0.559984,-3.89825
7700000,37.2751,3.80483
7733333,22.2408,0.202185
7733333,-0.446708,-3.79794
7733333,37.4117,3.90351
7766666,22.0823,-0.273132
7766666,-0.399034,-4.27326
7766666,37.4794,3.42655
7800000,22.36,0.0467689
7800000,0.0903253,-3.95336
7800000,37.9854,3.74481
7833333,22.2761,0.161741
7833333,0.223648,-3.83838
7833333,38.1321,3.85814
7866666,21.8148,-0.213764
7866666,-0.014904,-4.21389
7866666,37.9035,3.481
7900000,21.9421,0.0451882
7900000,0.340764,-3.95494
7900000,38.2658,3.73831
7933333,22.131,-0.181873
7933333,0.763534,-4.182
7933333,38.6919,3.50961
7966666,21.6797,-0.104199
7966666,0.551696,-4.10432
7966666,38.4801,3.58565
8000000,21.9575,0.180468
8000000,1.07448,-3.81966
8000000,38.9995,3.86868
8033333,21.9269,-0.217635
8033333,1.29107,-4.21776
8033333,39.2128,3.46893
8066666,21.7324,-0.181309
8066666,1.34599,-4.18143
8066666,39.2644,3.50362
8100000,21.716,0.0736214
8100000,1.58125,-3.9265
8100000,39.4963,3.75691
8133333,21.6203,0.24304
8133333,1.73947,-3.75708
8133333,39.6512,3.92469
8166666,21.7099,0.3176
8166666,2.08517,-3.68252
8166666,39.9935,3.99762
8200000,21.5178,0.0706483
8200000,2.15141,-3.92948
8200000,40.0564,3.74902
8233333,21.6008,0.196456
8233333,2.49502,-3.80367
8233333,40.3967,3.87319
8266666,21.3723,-0.296151
8266666,2.52931,-4.29628
8266666,40.4276,3.37895
8300000,21.183,-0.0398878
8300000,2.60492,-4.04001
8300000,40.4999,3.63357
8333333,21.4615,0.221188
8333333,3.15072,-3.77894
8333333,41.0424,3.89301
8366666,21.2932,0.165503
8366666,3.25184,-3.83462
8366666,41.1402,3.83568
8400000,21.4079,0.125427
8400000,3.63817,-3.8747
8400000,41.5231,3.79397
8433333,21.1305,-0.229341
8433333,3.63467,-4.22947
8433333,41.5163,3.43756
8466666,21.1161,0.0123907
8466666,3.89644,-3.98773
8466666,41.7747,3.67766
8500000,21.0108,-0.146002
8500000,4.06941,-4.14613
8500000,41.9444,3.51762
8533333,20.5592,-0.185867
8533333,3.89843,-4.18599
8533333,41.77,3.47612
8566666,20.8085,0.11861
8566666,4.43041,-3.88151
8566666,42.2987,3.77896
8600000,20.6123,0.0820663
8600000,4.51922,-3.91806
8600000,42.3842,3.74078
8633333,20.6102,0.149691
8633333,4.80442,-3.85043
8633333,42.666,3.80676
8666666,20.3824,0.290529
8666666,4.86605,-3.7096
8666666,42.7243,3.94596
8700000,20.5757,0.201407
8700000,5.35094,-3.79872
8700000,43.2059,3.8552
8733333,20.1647,0.135183
8733333,5.23385,-3.86494
8733333,43.0854,3.78734
8766666,20.4802,-0.183264
8766666,5.84547,-4.18339
8766666,43.6937,3.46725
8800000,20.0294,-0.145662
8800000,5.69298,-4.14579
8800000,43.5379,3.50321
8833333,19.8464,-0.0305156
8833333,5.81059,-4.03064
8833333,43.6522,3.61672
8866666,19.766,0.00349757
8866666,6.03292,-3.99663
8866666,43.8711,3.6491
8900000,19.9348,-0.416112
8900000,6.50676,-4.41624
8900000,44.3416,3.22785
8933333,19.7659,0.146948
8933333,6.6451,-3.85318
8933333,44.4766,3.78927
8966666,19.5056,0.351181
8966666,6.69421,-3.64894
8966666,44.5224,3.99186
9000000,19.5062,-0.223012
9000000,7.00645,-4.22314
9000000,44.8313,3.41603
9033333,19.2714,0.15592
9033333,7.08559,-3.8442
9033333,44.9071,3.79332
9066666,19.1744,-0.0163757
9066666,7.30472,-4.0165
9066666,45.1229,3.61939
9100000,19.1006,-0.138004
