Time, estimated x, estimated y, estimated v, estimated yaw 
4700000,15.5786,-0.0184775,5.38761,0.153718
4700000,-2.74191,-3.96126,-4.53659,-0.0629032
4700000,12.328,3.84792,9.73692,0.00422334
4733333,15.7509,0.027209,5.4352,0.182327
4733333,-2.88092,-3.96614,-4.51671,-0.0558293
4733333,12.6449,3.89755,9.80178,0.0275532
4766666,15.9328,0.105924,5.46094,0.227651
4766666,-3.0125,-3.94682,-4.45906,-0.0628608
4766666,12.9726,3.9676,9.8307,0.0546597
4800000,16.099,0.0954862,5.36407,0.222733
4800000,-3.12416,-3.95533,-4.30162,-0.0590152
4800000,13.3081,3.93274,9.83581,0.038854
4833333,16.263,0.0814009,5.31693,0.21375
4833333,-3.25839,-3.95742,-4.2541,-0.0585519
4833333,13.6419,3.90584,9.88574,0.0283348
4866666,16.431,0.0647784,5.24075,0.203523
4866666,-3.35926,-3.96989,-4.09311,-0.0504047
4866666,13.9836,3.86754,9.91431,0.0126768
4900000,16.5966,0.0839238,5.16196,0.213619
4900000,-3.4447,-3.96468,-3.90359,-0.0508076
4900000,14.3187,3.86403,9.90256,0.0105407
4933333,16.7509,0.0841053,5.04402,0.212854
4933333,-3.52224,-3.98464,-3.69174,-0.0384787
4933333,14.6449,3.84887,9.86425,0.0040655
4966666,16.9178,0.0920343,5.05419,0.212697
4966666,-3.61692,-3.99242,-3.61874,-0.0286281
4966666,14.9842,3.84892,9.94191,0.00576072
5000000,17.0934,0.0839311,5.06722,0.201989
5000000,-3.71327,-4.00379,-3.55766,-0.0170203
5000000,15.3379,3.83051,10.0429,-4.18312e-05
5033333,17.2713,0.112279,5.10877,0.211172
5033333,-3.81305,-4.01429,-3.52005,-0.00576311
5033333,15.6876,3.86145,10.1251,0.0132245
5066666,17.4059,0.132766,4.99235,0.219874
5066666,-3.92344,-4.00234,-3.45753,-0.0166136
5066666,15.9969,3.88555,10.0555,0.0229771
5100000,17.5312,0.15856,4.80852,0.233381
5100000,-4.02514,-3.967,-3.33226,-0.0466147
5100000,16.3009,3.90813,9.91989,0.0301718
5133333,17.704,0.0976957,4.78577,0.189116
5133333,-4.10252,-3.99587,-3.22426,-0.0235175
5133333,16.6702,3.82835,10.0483,-0.00116586
5166666,17.8545,0.0897961,4.68252,0.179559
5166666,-4.17811,-4.00403,-3.07332,-0.019322
5166666,17.0082,3.81571,10.027,-0.00638862
5200000,17.9695,0.0947531,4.43268,0.182073
5200000,-4.25845,-3.98391,-2.87226,-0.0437987
5200000,17.3105,3.82001,9.84144,-0.006302
5233333,18.101,0.101288,4.3627,0.181426
5233333,-4.35209,-3.95845,-2.82312,-0.0658594
5233333,17.6313,3.83003,9.83262,-0.00171505
5266666,18.2414,0.0969969,4.30478,0.172999
5266666,-4.39542,-3.99445,-2.63688,-0.0370815
5266666,17.9637,3.82464,9.84695,-0.0035435
5300000,18.3792,0.0916825,4.23657,0.164053
5300000,-4.4478,-4.01754,-2.48616,-0.0200327
5300000,18.2962,3.81902,9.85221,-0.00555039
5333333,18.4836,0.0814032,4.03597,0.155567
5333333,-4.51092,-4.01751,-2.31321,-0.0282669
5333333,18.5978,3.81007,9.72749,-0.00956065
5366666,18.6112,0.0894551,4.01896,0.1548
5366666,-4.5726,-4.00914,-2.25258,-0.0348519
5366666,18.9231,3.82169,9.76872,-0.00365456
5400000,18.7337,0.0674602,3.89444,0.136137
5400000,-4.61908,-4.02102,-2.08447,-0.0296232
5400000,19.2502,3.79377,9.73539,-0.0149225
5433333,18.8601,0.0718166,3.90372,0.132868
5433333,-4.67003,-4.03873,-2.02814,-0.0138507
5433333,19.5779,3.80488,9.8014,-0.00822619
5466666,18.9874,0.0603711,3.88644,0.119273
5466666,-4.72554,-4.05709,-1.97004,0.000355475
5466666,19.9114,3.79603,9.85803,-0.00989832
5500000,19.1205,0.0734015,3.86515,0.121622
5500000,-4.78141,-4.04704,-1.90796,-0.0107104
5500000,20.2491,3.81591,9.87849,-0.0016225
5533333,19.232,0.0796095,3.83535,0.120327
5533333,-4.84793,-4.03834,-1.89817,-0.0213273
5533333,20.5658,3.83158,9.88314,0.00570363
5566666,19.3491,0.0868275,3.80318,0.119262
5566666,-4.89751,-4.03256,-1.8384,-0.0273247
5566666,20.8893,3.84385,9.88053,0.0106686
5600000,19.466,0.0698964,3.75488,0.101726
5600000,-4.95821,-4.02674,-1.79782,-0.0368109
5600000,21.2167,3.82648,9.87669,0.00376286
5633333,19.5836,0.0650848,3.70684,0.092757
5633333,-4.99752,-4.03664,-1.70171,-0.0283928
5633333,21.5429,3.82315,9.8558,0.00224453
5666666,19.6883,0.0190034,3.60438,0.0559555
5666666,-5.02663,-4.06197,-1.56337,-0.00512345
5666666,21.8626,3.76336,9.80998,-0.0209282
