Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
4966666,17.033,0.000123954,4.58335,7.45058e-09
4966666,-3.65,-4,-2.9,0
4966666,15.2925,3.88528,9.9,-0.0083335
5000000,17.1858,0.000123955,4.51668,7.45058e-09
5000000,-3.74667,-4,-2.8,0
5000000,15.6225,3.88253,9.9,-0.0083335
5033333,17.3363,0.000123956,4.45001,7.45058e-09
5033333,-3.84,-4,-2.7,0
5033333,15.9525,3.87978,9.9,-0.0083335
5066666,17.4846,0.000123957,4.38335,7.45058e-09
5066666,-3.93,-4,-2.6,0
5066666,16.2825,3.87703,9.9,-0.0083335
5100000,17.6308,0.000123958,4.31668,7.45058e-09
5100000,-4.01667,-4,-2.5,0
5100000,16.6125,3.87428,9.9,-0.0083335
5133333,17.7746,0.000123959,4.25001,7.45058e-09
5133333,-4.1,-4,-2.4,0
5133333,16.9425,3.87153,9.9,-0.0083335
5166666,17.9163,0.00012396,4.18335,7.45058e-09
5166666,-4.18,-4,-2.3,0
5166666,17.2724,3.86878,9.9,-0.0083335
5200000,18.0558,0.000123961,4.11668,7.45058e-09
5200000,-4.25667,-4,-2.2,0
5200000,17.6024,3.86603,9.9,-0.0083335
5233333,18.193,0.000123962,4.05001,7.45058e-09
5233333,-4.33,-4,-2.1,0
5233333,17.9324,3.86328,9.9,-0.0083335
5266666,18.328,0.000123963,3.98335,7.45058e-09
5266666,-4.4,-4,-2,0
5266666,18.2624,3.86053,9.9,-0.0083335
5300000,18.4608,0.000123964,3.91668,7.45058e-09
5300000,-4.46667,-4,-1.9,0
5300000,18.5924,3.85778,9.9,-0.0083335
5333333,18.5913,0.000123965,3.85001,7.45058e-09
5333333,-4.53001,-4,-1.8,0
5333333,18.9224,3.85503,9.9,-0.0083335
5366666,18.7196,0.000123966,3.78335,7.45058e-09
5366666,-4.59001,-4,-1.7,0
5366666,19.2524,3.85228,9.9,-0.0083335
5400000,18.8458,0.000123967,3.71668,7.45058e-09
5400000,-4.64667,-4,-1.6,0
5400000,19.5824,3.84953,9.9,-0.0083335
5433333,18.9696,0.000123968,3.65001,7.45058e-09
5433333,-4.70001,-4,-1.5,0
5433333,19.9124,3.84678,9.9,-0.0083335
5466666,19.0913,0.000123969,3.58335,7.45058e-09
5466666,-4.75001,-4,-1.4,0
5466666,20.2423,3.84403,9.83334,-0.0083335
5500000,19.2108,0.00012397,3.51668,7.45058e-09
