Time, Lidar NIS, Radar NIS 
6400000,0.843362,10.7463
6433333,1.0501,4.65654
6433333,0.113663,6.22687
6433333,1.60121,4.47677
6466666,1.38277,0.297907
6466666,1.45077,1.42098
6466666,1.12763,0.256333
6500000,3.16466,10.8288
6500000,2.46338,13.5758
6500000,3.91893,10.8222
6533333,0.0214575,3.45596
6533333,0.4599,5.36211
6533333,0.00238473,3.47112
6566666,0.216766,5.46903
6566666,0.475937,6.35277
6566666,0.318492,5.41116
6600000,0.423067,5.59318
6600000,0.175974,7.66497
6600000,0.475902,5.43752
6633333,2.0322,1.52675
6633333,2.75091,1.70807
6633333,2.10562,1.54857
6666666,1.86886,6.14015
6666666,0.955067,7.05516
6666666,1.80631,5.95371
6700000,1.55816,0.268419
6700000,1.28943,0.194952
6700000,1.20669,0.305867
6733333,9.02901,12.3903
6733333,13.1771,12.1308
6733333,9.51702,12.2472
6766666,1.55058,2.0867
6766666,0.32591,2.29345
6766666,1.50727,2.08913
6800000,4.02489,6.29377
6800000,4.2089,4.56275
6800000,3.4643,6.54447
6833333,1.76608,3.04663
6833333,0.202865,4.55348
6833333,1.51045,2.99939
6866666,0.82973,1.35562
6866666,1.71408,2.92198
6866666,0.399188,1.25882
6900000,1.33678,1.04316
6900000,2.52283,1.317
6900000,0.610808,1.03438
6933333,0.317596,6.90765
6933333,2.80776,4.65826
6933333,0.824742,7.14519
6966666,7.66488,0.867472
6966666,4.82953,1.65746
6966666,5.20109,0.936216
7000000,0.470791,11.6621
7000000,2.70678,13.0093
7000000,0.143089,11.8021
7033333,2.38555,5.95229
7033333,6.52544,5.82473
7033333,3.58665,6.07085
7066666,6.20606,2.2602
7066666,4.30956,2.63743
7066666,7.52397,2.30043
7100000,0.516025,3.61471
7100000,1.1366,1.2458
7100000,0.999756,3.64139
7133333,1.95141,1.95328
7133333,2.92362,4.8359
7133333,2.32868,1.97117
7166666,1.83537,3.39031
7166666,2.23457,5.73217
7166666,1.44374,3.39784
7200000,0.427493,6.16644
7200000,1.24087,6.12712
7200000,0.228061,6.13088
7233333,2.91507,2.42369
7233333,4.67621,3.61681
7233333,3.46319,2.40875
7266666,5.40761,0.604466
7266666,4.41488,0.721304
7266666,5.15462,0.582768
7300000,2.39305,1.7889
7300000,0.789632,4.23581
7300000,2.39734,1.78838
7333333,0.709486,0.321975
7333333,2.42524,1.02203
7333333,0.622519,0.316064
7366666,1.71046,1.38305
7366666,3.73666,1.13928
7366666,1.17506,1.29525
7400000,2.93401,0.338372
7400000,2.79808,2.26272
7400000,3.81231,0.390524
7433333,1.18594,2.44635
7433333,0.204566,0.767008
7433333,1.08438,2.31971
7466666,0.874897,2.58238
7466666,3.18264,1.40824
7466666,0.508923,2.42499
7500000,2.74897,3.05058
7500000,7.48617,0.548618
7500000,2.03925,2.55068
7533333,2.06902,5.72584
7533333,1.57979,7.23639
7533333,1.26273,4.64651
7566666,0.236689,1.7828
